name,category_name,category_tax,price
Product_77,TV,18,1676.95
Product_78,Laptops,20,3119.50
Product_79,TV,18,754.39
Product_80,Accessories,10,600.90
Product_81,Laptops,20,3574.60
Product_82,Accessories,10,3557.93
Product_83,Smartphones,15,7620.02
Product_84,Smartphones,15,1668.05
Product_85,Smartphones,15,9531.02
Product_86,Smartphones,15,6657.98
Product_87,Laptops,20,7891.48
Product_88,Laptops,20,6236.76
Product_89,Accessories,10,9023.34
Product_90,TV,18,6051.18
Product_91,Smartphones,15,4464.65
Product_92,Smartphones,15,3949.08
Product_93,Smartphones,15,2403.61
Product_94,Laptops,20,9963.13
Product_95,Accessories,10,2542.51
Product_96,TV,18,6131.94
Product_97,Laptops,20,6469.62
Product_98,TV,18,6623.92
Product_99,Laptops,20,7606.41
Product_100,TV,18,9326.88
Product_101,TV,18,9073.41
Product_102,Laptops,20,2873.22
Product_103,Laptops,20,5242.57
Product_104,Smartphones,15,5309.21
Product_105,Accessories,10,670.39
Product_106,Laptops,20,875.77
Product_107,TV,18,6750.82
Product_108,TV,18,886.75
Product_109,TV,18,4957.43
Product_110,Laptops,20,5135.37
Product_111,Smartphones,15,7266.53
Product_112,Laptops,20,7364.03
Product_113,TV,18,308.81
Product_114,Laptops,20,1752.87
Product_115,Accessories,10,3017.90
Product_116,Smartphones,15,1770.92
Product_117,TV,18,3496.32
Product_118,Laptops,20,699.99
Product_119,Laptops,20,3475.39
Product_120,Laptops,20,4981.80
Product_121,Accessories,10,9789.09
Product_122,Accessories,10,9403.69
Product_123,TV,18,8711.40
Product_124,Smartphones,15,109.42
Product_125,Accessories,10,8142.54
Product_126,TV,18,1945.50
Product_127,TV,18,3730.80
Product_128,Accessories,10,9110.21
Product_129,TV,18,3551.07
Product_130,Accessories,10,3742.43
Product_131,Accessories,10,4960.55
Product_132,Smartphones,15,8690.24
Product_133,Smartphones,15,1358.06
Product_134,Laptops,20,4427.31
Product_135,TV,18,181.08
Product_136,TV,18,9966.45
Product_137,Smartphones,15,6735.10
Product_138,TV,18,512.81
Product_139,TV,18,6176.98
Product_140,TV,18,9078.15
Product_141,Smartphones,15,5380.97
Product_142,TV,18,4597.91
Product_143,TV,18,7992.89
Product_144,TV,18,1648.03
Product_145,TV,18,8529.78
Product_146,TV,18,5592.38
Product_147,Smartphones,15,7870.72
Product_148,Smartphones,15,8018.77
Product_149,TV,18,8929.47
Product_150,Accessories,10,1316.14
Product_151,Laptops,20,5032.67
Product_152,TV,18,9705.99
Product_153,Smartphones,15,6475.01
Product_154,TV,18,10097.85
Product_155,Laptops,20,7522.36
Product_156,Smartphones,15,9518.68
Product_157,Laptops,20,2899.42
Product_158,Laptops,20,7885.13
Product_159,TV,18,4062.88
Product_160,TV,18,6738.46
Product_161,Laptops,20,2622.81
Product_162,Smartphones,15,4323.54
Product_163,Laptops,20,6596.45
Product_164,Laptops,20,8969.35
Product_165,Accessories,10,5659.43
Product_166,Smartphones,15,3166.46
Product_167,Accessories,10,1250.11
Product_168,TV,18,6824.15
Product_169,Smartphones,15,1885.45
Product_170,Laptops,20,9826.15
Product_171,Smartphones,15,9912.23
Product_172,Smartphones,15,3985.74
Product_173,TV,18,9752.64
Product_174,Smartphones,15,6144.31
Product_175,TV,18,9653.73
Product_176,TV,18,7128.35
Product_177,Accessories,10,5281.71
Product_178,TV,18,2405.22
Product_179,Accessories,10,9732.54
Product_180,Laptops,20,3165.95
Product_181,Laptops,20,7792.04
Product_182,TV,18,6886.46
Product_183,TV,18,381.96
Product_184,Laptops,20,9170.82
Product_185,Laptops,20,7902.71
Product_186,Smartphones,15,4382.17
Product_187,Laptops,20,7174.09
Product_188,Smartphones,15,1572.25
Product_189,TV,18,2406.96
Product_190,Smartphones,15,9074.30
Product_191,Laptops,20,4283.76
Product_192,Laptops,20,3583.15
Product_193,TV,18,8900.75
Product_194,Accessories,10,5019.92
Product_195,Accessories,10,8080.47
Product_196,Smartphones,15,2812.51
Product_197,Laptops,20,6118.25
Product_198,Smartphones,15,9883.97
Product_199,Accessories,10,3433.82
Product_200,Smartphones,15,8054.87
Product_201,Accessories,10,7034.90
Product_202,Laptops,20,9118.83
Product_203,TV,18,5768.09
Product_204,TV,18,7459.46
Product_205,Smartphones,15,4333.43
Product_206,TV,18,7097.22
Product_207,Smartphones,15,2723.64
Product_208,TV,18,1051.98
Product_209,Laptops,20,7528.74
Product_210,Laptops,20,318.22
Product_211,TV,18,6555.80
Product_212,Accessories,10,9457.44
Product_213,Accessories,10,7204.99
Product_214,Accessories,10,138.54
Product_215,TV,18,3363.14
Product_216,Smartphones,15,10091.19
Product_217,Laptops,20,9670.68
Product_218,Laptops,20,4560.71
Product_219,TV,18,3885.09
Product_220,TV,18,2173.72
Product_221,Accessories,10,1057.62
Product_222,Accessories,10,2939.16
Product_223,Accessories,10,7474.96
Product_224,TV,18,2201.11
Product_225,Laptops,20,8301.87
Product_226,Accessories,10,2750.06
Product_227,TV,18,167.03
Product_228,Accessories,10,5890.25
Product_229,Accessories,10,5715.52
Product_230,TV,18,9122.95
Product_231,TV,18,283.06
Product_232,TV,18,7276.55
Product_233,Smartphones,15,5008.30
Product_234,Accessories,10,4020.81
Product_235,Smartphones,15,7785.63
Product_236,Laptops,20,8623.03
Product_237,TV,18,4472.81
Product_238,Accessories,10,4635.75
Product_239,Smartphones,15,4880.14
Product_240,Accessories,10,4206.45
Product_241,Laptops,20,1361.79
Product_242,TV,18,2299.11
Product_243,TV,18,7806.65
Product_244,Laptops,20,3597.92
Product_245,Laptops,20,1736.00
Product_246,Laptops,20,2929.83
Product_247,Smartphones,15,8305.51
Product_248,Laptops,20,6398.25
Product_249,Accessories,10,7370.62
Product_250,Smartphones,15,1796.28
Product_251,TV,18,7909.95
Product_252,Smartphones,15,513.05
Product_253,Smartphones,15,5009.71
Product_254,Laptops,20,4424.95
Product_255,TV,18,990.81
Product_256,Accessories,10,4386.29
Product_257,TV,18,2578.25
Product_258,TV,18,3586.00
Product_259,Smartphones,15,6477.97
Product_260,Accessories,10,5583.90
Product_261,Accessories,10,7544.84
Product_262,Accessories,10,9970.21
Product_263,Accessories,10,4701.48
Product_264,Smartphones,15,3937.03
Product_265,TV,18,9150.77
Product_266,Accessories,10,2364.18
Product_267,Laptops,20,9750.89
Product_268,Laptops,20,5806.43
Product_269,Smartphones,15,6109.95
Product_270,Laptops,20,8456.63
Product_271,Accessories,10,6475.01
Product_272,Smartphones,15,9835.33
Product_273,Accessories,10,1414.85
Product_274,Accessories,10,3263.68
Product_275,Laptops,20,6366.06
Product_276,Laptops,20,7161.85
Product_277,TV,18,9417.60
Product_278,Accessories,10,8867.27
Product_279,Smartphones,15,9376.21
Product_280,Smartphones,15,7485.13
Product_281,Smartphones,15,2599.87
Product_282,TV,18,348.86
Product_283,Accessories,10,5403.63
Product_284,Smartphones,15,7568.18
Product_285,Laptops,20,2233.33
Product_286,TV,18,6154.56
Product_287,TV,18,195.21
Product_288,Laptops,20,1556.01
Product_289,TV,18,2149.72
Product_290,Smartphones,15,5345.52
Product_291,Laptops,20,6684.49
Product_292,Smartphones,15,8894.97
Product_293,Smartphones,15,6917.69
Product_294,TV,18,3950.08
Product_295,Smartphones,15,9393.78
Product_296,Smartphones,15,3937.71
Product_297,Smartphones,15,2377.58
Product_298,Accessories,10,934.43
Product_299,Smartphones,15,9558.14
Product_300,Accessories,10,6785.08
Product_301,Smartphones,15,8700.94
Product_302,Smartphones,15,6930.60
Product_303,Smartphones,15,5530.16
Product_304,Accessories,10,2890.13
Product_305,TV,18,9898.69
Product_306,TV,18,8767.86
Product_307,Accessories,10,313.45
Product_308,Accessories,10,3540.46
Product_309,Smartphones,15,5694.75
Product_310,Accessories,10,3135.15
Product_311,Accessories,10,9342.59
Product_312,TV,18,1681.93
Product_313,Accessories,10,9134.69
Product_314,Smartphones,15,4168.13
Product_315,Smartphones,15,8825.07
Product_316,Accessories,10,5849.60
Product_317,Smartphones,15,10066.40
Product_318,TV,18,4101.67
Product_319,Accessories,10,9486.86
Product_320,Smartphones,15,7446.87
Product_321,Accessories,10,7482.98
Product_322,Smartphones,15,563.78
Product_323,Smartphones,15,9710.39
Product_324,Smartphones,15,3579.72
Product_325,Smartphones,15,3476.19
Product_326,TV,18,4488.62
Product_327,Smartphones,15,251.17
Product_328,Accessories,10,4899.87
Product_329,TV,18,1870.74
Product_330,Accessories,10,522.31
Product_331,Laptops,20,9344.07
Product_332,Smartphones,15,5070.65
Product_333,Laptops,20,1319.66
Product_334,Accessories,10,7058.40
Product_335,Accessories,10,3928.23
Product_336,Smartphones,15,1844.30
Product_337,Accessories,10,5382.61
Product_338,Accessories,10,9109.32
Product_339,TV,18,2612.93
Product_340,TV,18,5246.94
Product_341,Accessories,10,962.12
Product_342,Smartphones,15,9840.84
Product_343,Laptops,20,3618.75
Product_344,TV,18,9643.65
Product_345,Accessories,10,4637.03
Product_346,Smartphones,15,6699.24
Product_347,TV,18,3590.56
Product_348,Laptops,20,7211.26
Product_349,Accessories,10,4541.97
Product_350,Smartphones,15,9257.23
Product_351,TV,18,8705.05
Product_352,Accessories,10,3180.24
Product_353,Laptops,20,4159.76
Product_354,Accessories,10,1830.75
Product_355,TV,18,9470.35
Product_356,Accessories,10,9231.23
Product_357,Laptops,20,4691.94
Product_358,Smartphones,15,1683.46
Product_359,Laptops,20,7615.27
Product_360,Smartphones,15,5601.41
Product_361,Accessories,10,1013.15
Product_362,Accessories,10,9825.07
Product_363,Accessories,10,5879.43
Product_364,Smartphones,15,2810.91
Product_365,Laptops,20,2736.38
Product_366,TV,18,5215.89
Product_367,Smartphones,15,7082.99
Product_368,Smartphones,15,2466.00
Product_369,TV,18,821.69
Product_370,Accessories,10,6036.34
Product_371,Smartphones,15,3672.39
Product_372,Laptops,20,444.74
Product_373,Accessories,10,9078.68
Product_374,TV,18,3681.28
Product_375,Smartphones,15,1673.44
Product_376,Laptops,20,8597.32
Product_377,Accessories,10,7684.40
Product_378,Accessories,10,8290.12
Product_379,Accessories,10,922.81
Product_380,Accessories,10,4314.08
Product_381,Smartphones,15,6439.34
Product_382,TV,18,961.61
Product_383,Smartphones,15,6554.66
Product_384,Accessories,10,3613.19
Product_385,Smartphones,15,9416.52
Product_386,Accessories,10,167.20
Product_387,Laptops,20,6383.53
Product_388,Accessories,10,7955.58
Product_389,Smartphones,15,2753.05
Product_390,Smartphones,15,3370.58
Product_391,Accessories,10,1899.86
Product_392,Laptops,20,6402.80
Product_393,Smartphones,15,1132.37
Product_394,Smartphones,15,5794.78
Product_395,Smartphones,15,8451.67
Product_396,Laptops,20,3882.92
Product_397,Laptops,20,3195.54
Product_398,Laptops,20,255.98
Product_399,Laptops,20,4163.30
Product_400,TV,18,9894.03
Product_401,TV,18,5219.41
Product_402,Accessories,10,4957.82
Product_403,Laptops,20,6548.02
Product_404,Smartphones,15,1074.62
Product_405,Smartphones,15,1747.04
Product_406,Smartphones,15,4469.85
Product_407,TV,18,8636.09
Product_408,Accessories,10,5140.99
Product_409,Accessories,10,5889.50
Product_410,TV,18,3824.15
Product_411,Laptops,20,4862.18
Product_412,TV,18,6571.92
Product_413,TV,18,3530.37
Product_414,TV,18,1728.40
Product_415,Smartphones,15,9948.20
Product_416,Smartphones,15,6193.56
Product_417,TV,18,324.69
Product_418,Accessories,10,4088.99
Product_419,Smartphones,15,5455.02
Product_420,TV,18,1072.54
Product_421,Accessories,10,337.15
Product_422,Accessories,10,1547.03
Product_423,TV,18,8428.51
Product_424,Accessories,10,1486.64
Product_425,Laptops,20,7863.26
Product_426,Accessories,10,4691.26
Product_427,Accessories,10,6474.50
Product_428,TV,18,6341.33
Product_429,Laptops,20,2645.02
Product_430,TV,18,6365.65
Product_431,Accessories,10,6040.66
Product_432,TV,18,5656.39
Product_433,Laptops,20,337.37
Product_434,Smartphones,15,1176.32
Product_435,Laptops,20,7941.42
Product_436,Laptops,20,4261.59
Product_437,Smartphones,15,375.13
Product_438,Accessories,10,5448.23
Product_439,Accessories,10,8930.89
Product_440,TV,18,190.32
Product_441,Laptops,20,7785.24
Product_442,TV,18,9189.31
Product_443,Accessories,10,1505.56
Product_444,Laptops,20,5067.82
Product_445,Accessories,10,1006.15
Product_446,Laptops,20,2129.54
Product_447,Laptops,20,6478.21
Product_448,Laptops,20,5776.60
Product_449,Accessories,10,9075.03
Product_450,TV,18,8590.95
Product_451,Smartphones,15,5459.25
Product_452,Smartphones,15,5009.02
Product_453,Smartphones,15,9189.53
Product_454,Accessories,10,8843.41
Product_455,TV,18,3730.32
Product_456,Smartphones,15,8748.97
Product_457,Smartphones,15,8486.65
Product_458,TV,18,5333.16
Product_459,Laptops,20,2131.26
Product_460,TV,18,7585.00
Product_461,Smartphones,15,2950.98
Product_462,TV,18,300.11
Product_463,Accessories,10,6797.19
Product_464,TV,18,2155.45
Product_465,Laptops,20,5266.47
Product_466,Laptops,20,9237.69
Product_467,TV,18,9180.32
Product_468,TV,18,516.07
Product_469,TV,18,278.42
Product_470,Smartphones,15,5684.28
Product_471,Accessories,10,8759.99
Product_472,Accessories,10,1767.49
Product_473,Smartphones,15,9930.03
Product_474,Accessories,10,9244.15
Product_475,Laptops,20,4439.37
Product_476,Laptops,20,4948.00
Product_477,TV,18,8150.25
Product_478,Accessories,10,7348.26
Product_479,Accessories,10,5894.79
Product_480,Accessories,10,2359.43
Product_481,Smartphones,15,5502.17
Product_482,Accessories,10,1358.93
Product_483,Laptops,20,9652.36
Product_484,TV,18,6778.10
Product_485,Laptops,20,2389.10
Product_486,TV,18,1110.67
Product_487,Accessories,10,9229.84
Product_488,Accessories,10,874.38
Product_489,Accessories,10,296.68
Product_490,Laptops,20,4757.90
Product_491,Smartphones,15,9925.74
Product_492,TV,18,4696.45
Product_493,Accessories,10,6285.63
Product_494,TV,18,1782.38
Product_495,Smartphones,15,6783.46
Product_496,Laptops,20,2322.94
Product_497,TV,18,1215.78
Product_498,Laptops,20,5084.52
Product_499,TV,18,7580.03
Product_500,Accessories,10,4037.53
Product_501,TV,18,592.23
Product_502,TV,18,8448.21
Product_503,Accessories,10,730.31
Product_504,Laptops,20,2284.19
Product_505,Accessories,10,864.38
Product_506,TV,18,2366.11
Product_507,Laptops,20,9550.03
Product_508,Laptops,20,1654.18
Product_509,TV,18,4061.50
Product_510,Accessories,10,1100.26
Product_511,Laptops,20,104.95
Product_512,Laptops,20,1515.23
Product_513,Smartphones,15,1743.84
Product_514,TV,18,4135.27
Product_515,Smartphones,15,9869.08
Product_516,Accessories,10,8982.90
Product_517,TV,18,1653.51
Product_518,Smartphones,15,8919.16
Product_519,Laptops,20,6844.83
Product_520,Smartphones,15,8225.80
Product_521,Laptops,20,6510.29
Product_522,Laptops,20,582.52
Product_523,Laptops,20,10075.40
Product_524,Laptops,20,863.20
Product_525,TV,18,683.87
Product_526,TV,18,2484.08
Product_527,Accessories,10,8670.75
Product_528,Laptops,20,5311.33
Product_529,Laptops,20,6240.64
Product_530,Laptops,20,6708.59
Product_531,Laptops,20,9565.86
Product_532,TV,18,4016.41
Product_533,TV,18,6967.45
Product_534,Smartphones,15,2314.41
Product_535,TV,18,6128.81
Product_536,Accessories,10,7558.18
Product_537,TV,18,9908.97
Product_538,TV,18,7077.94
Product_539,TV,18,4379.02
Product_540,Smartphones,15,7867.04
Product_541,Laptops,20,6576.00
Product_542,Laptops,20,2651.22
Product_543,Laptops,20,4055.54
Product_544,Laptops,20,7577.65
Product_545,TV,18,803.25
Product_546,Smartphones,15,2361.17
Product_547,Accessories,10,5718.57
Product_548,Smartphones,15,2866.73
Product_549,TV,18,7873.14
Product_550,Laptops,20,4195.43
Product_551,TV,18,877.00
Product_552,TV,18,4091.03
Product_553,TV,18,1915.16
Product_554,Accessories,10,6389.56
Product_555,Laptops,20,3197.97
Product_556,Accessories,10,4241.77
Product_557,TV,18,4467.84
Product_558,Smartphones,15,1288.31
Product_559,Accessories,10,2696.24
Product_560,Laptops,20,4391.66
Product_561,Accessories,10,2550.24
Product_562,Accessories,10,4424.93
Product_563,Laptops,20,5955.38
Product_564,Accessories,10,4292.48
Product_565,TV,18,1819.79
Product_566,Accessories,10,6751.14
Product_567,Laptops,20,2285.25
Product_568,Smartphones,15,9614.80
Product_569,TV,18,4819.99
Product_570,Smartphones,15,3648.72
Product_571,TV,18,2497.71
Product_572,Smartphones,15,665.78
Product_573,Smartphones,15,5505.38
Product_574,TV,18,8281.15
Product_575,Laptops,20,2604.47
Product_576,Smartphones,15,254.79
Product_577,TV,18,8175.33
Product_578,TV,18,9062.07
Product_579,Accessories,10,9803.96
Product_580,Accessories,10,5844.99
Product_581,TV,18,4731.16
Product_582,Laptops,20,5427.78
Product_583,Smartphones,15,7844.54
Product_584,TV,18,6309.40
Product_585,Smartphones,15,1671.94
Product_586,Smartphones,15,3904.13
Product_587,Accessories,10,6306.34
Product_588,Smartphones,15,2147.35
Product_589,TV,18,8870.78
Product_590,Accessories,10,6144.03
Product_591,Smartphones,15,5357.28
Product_592,TV,18,4938.22
Product_593,Accessories,10,9324.80
Product_594,Accessories,10,2536.75
Product_595,Smartphones,15,5118.31
Product_596,Laptops,20,1878.63
Product_597,Accessories,10,9340.93
Product_598,Laptops,20,4931.63
Product_599,TV,18,1534.20
Product_600,Laptops,20,8341.18
Product_601,Laptops,20,7242.25
Product_602,TV,18,3322.38
Product_603,Smartphones,15,7632.16
Product_604,Smartphones,15,5324.91
Product_605,TV,18,3188.73
Product_606,Accessories,10,6666.73
Product_607,Smartphones,15,3588.24
Product_608,Laptops,20,9427.41
Product_609,Smartphones,15,1696.32
Product_610,Accessories,10,7035.65
Product_611,TV,18,3803.71
Product_612,Accessories,10,8378.44
Product_613,TV,18,9370.51
Product_614,Smartphones,15,1745.21
Product_615,Laptops,20,2720.19
Product_616,TV,18,1685.97
Product_617,Accessories,10,9126.76
Product_618,Accessories,10,4107.35
Product_619,TV,18,4511.24
Product_620,Laptops,20,5014.24
Product_621,Accessories,10,4598.06
Product_622,Accessories,10,8218.18
Product_623,Laptops,20,5702.78
Product_624,Smartphones,15,3159.19
Product_625,Laptops,20,2547.58
Product_626,Smartphones,15,7323.15
Product_627,Laptops,20,5634.60
Product_628,Smartphones,15,8934.95
Product_629,Accessories,10,3387.85
Product_630,Smartphones,15,5288.29
Product_631,Laptops,20,6093.77
Product_632,Smartphones,15,6905.60
Product_633,TV,18,8614.99
Product_634,Smartphones,15,2253.97
Product_635,Accessories,10,991.22
Product_636,Laptops,20,4044.59
Product_637,Laptops,20,878.06
Product_638,Smartphones,15,243.26
Product_639,Laptops,20,8185.63
Product_640,Smartphones,15,3943.22
Product_641,Accessories,10,5524.26
Product_642,Smartphones,15,6993.87
Product_643,TV,18,6648.29
Product_644,Smartphones,15,8756.62
Product_645,Accessories,10,8838.62
Product_646,TV,18,3129.22
Product_647,Accessories,10,375.31
Product_648,Smartphones,15,8152.85
Product_649,Laptops,20,5083.92
Product_650,Accessories,10,8908.59
Product_651,Accessories,10,220.90
Product_652,Accessories,10,6187.96
Product_653,Smartphones,15,8656.45
Product_654,TV,18,9426.01
Product_655,Smartphones,15,7979.02
Product_656,TV,18,9466.10
Product_657,Smartphones,15,594.72
Product_658,Laptops,20,246.61
Product_659,Laptops,20,9960.18
Product_660,Smartphones,15,8819.31
Product_661,Accessories,10,2152.25
Product_662,TV,18,8460.20
Product_663,Laptops,20,241.10
Product_664,Laptops,20,4364.24
Product_665,Smartphones,15,8387.20
Product_666,Smartphones,15,2618.71
Product_667,TV,18,7388.61
Product_668,Smartphones,15,1249.65
Product_669,Laptops,20,9439.73
Product_670,Smartphones,15,9295.00
Product_671,Smartphones,15,6353.70
Product_672,Accessories,10,3408.17
Product_673,TV,18,6487.05
Product_674,Accessories,10,3385.53
Product_675,Accessories,10,7915.59
Product_676,TV,18,8280.72
Product_677,TV,18,1900.15
Product_678,Accessories,10,9154.57
Product_679,Accessories,10,9833.25
Product_680,Laptops,20,9509.82
Product_681,Laptops,20,7820.99
Product_682,Smartphones,15,9149.33
Product_683,Accessories,10,8975.89
Product_684,Accessories,10,3434.97
Product_685,Laptops,20,2863.42
Product_686,Laptops,20,9844.43
Product_687,TV,18,8640.32
Product_688,TV,18,6019.30
Product_689,TV,18,4192.72
Product_690,TV,18,1237.28
Product_691,Accessories,10,1276.94
Product_692,Accessories,10,5712.15
Product_693,Smartphones,15,7449.94
Product_694,TV,18,6778.52
Product_695,Smartphones,15,9465.40
Product_696,Smartphones,15,5924.43
Product_697,Laptops,20,2394.32
Product_698,Smartphones,15,9199.90
Product_699,Accessories,10,1296.27
Product_700,Laptops,20,9745.91
Product_701,Smartphones,15,1094.14
Product_702,Laptops,20,4827.95
Product_703,Laptops,20,1600.56
Product_704,TV,18,10084.35
Product_705,Smartphones,15,281.86
Product_706,Smartphones,15,2372.13
Product_707,Accessories,10,9704.98
Product_708,Smartphones,15,8327.69
Product_709,TV,18,9054.71
Product_710,Smartphones,15,2230.96
Product_711,Laptops,20,3407.48
Product_712,Smartphones,15,8971.93
Product_713,Accessories,10,3595.79
Product_714,Laptops,20,763.41
Product_715,Laptops,20,2508.18
Product_716,TV,18,486.69
Product_717,TV,18,8738.40
Product_718,Smartphones,15,5707.22
Product_719,Laptops,20,7945.99
Product_720,Accessories,10,1457.29
Product_721,Accessories,10,2429.21
Product_722,Laptops,20,2490.63
Product_723,Smartphones,15,869.12
Product_724,TV,18,3791.93
Product_725,TV,18,9875.66
Product_726,TV,18,4674.03
Product_727,Smartphones,15,3915.63
Product_728,Accessories,10,6331.42
Product_729,TV,18,2152.09
Product_730,Laptops,20,7589.08
Product_731,Smartphones,15,8511.57
Product_732,Smartphones,15,7763.74
Product_733,Smartphones,15,3065.89
Product_734,Laptops,20,4281.94
Product_735,Smartphones,15,7897.87
Product_736,Smartphones,15,7923.67
Product_737,TV,18,353.05
Product_738,Laptops,20,1795.87
Product_739,Smartphones,15,6744.21
Product_740,Smartphones,15,3808.56
Product_741,Accessories,10,2045.25
Product_742,Smartphones,15,4020.69
Product_743,Smartphones,15,6411.05
Product_744,Laptops,20,975.34
Product_745,Laptops,20,1777.67
Product_746,Laptops,20,3342.73
Product_747,TV,18,8649.20
Product_748,TV,18,6601.25
Product_749,Accessories,10,635.42
Product_750,TV,18,2113.44
Product_751,Laptops,20,7381.49
Product_752,Smartphones,15,7488.42
Product_753,TV,18,5921.18
Product_754,Accessories,10,1409.15
Product_755,TV,18,6727.86
Product_756,Laptops,20,9981.02
Product_757,Laptops,20,7927.05
Product_758,TV,18,5325.11
Product_759,Laptops,20,9490.38
Product_760,TV,18,298.60
Product_761,TV,18,5638.20
Product_762,TV,18,8646.59
Product_763,Smartphones,15,3397.36
Product_764,Laptops,20,9684.60
Product_765,Laptops,20,9233.95
Product_766,Smartphones,15,9025.75
Product_767,Smartphones,15,8723.17
Product_768,Smartphones,15,8906.01
Product_769,Laptops,20,10087.96
Product_770,Smartphones,15,8556.85
Product_771,Smartphones,15,2442.02
Product_772,Laptops,20,3080.76
Product_773,Smartphones,15,9543.31
Product_774,TV,18,5659.14
Product_775,Accessories,10,2828.82
Product_776,Laptops,20,6004.36
Product_777,Laptops,20,2575.57
Product_778,Laptops,20,8695.25
Product_779,TV,18,1277.71
Product_780,Smartphones,15,9496.55
Product_781,Accessories,10,9422.73
Product_782,Accessories,10,3096.91
Product_783,TV,18,5166.11
Product_784,Smartphones,15,4373.97
Product_785,Smartphones,15,2894.50
Product_786,TV,18,4574.86
Product_787,Accessories,10,4182.35
Product_788,TV,18,1783.64
Product_789,TV,18,4653.31
Product_790,Accessories,10,249.92
Product_791,Laptops,20,5200.08
Product_792,Smartphones,15,808.03
Product_793,Laptops,20,627.50
Product_794,Smartphones,15,7045.88
Product_795,Smartphones,15,795.48
Product_796,Smartphones,15,644.82
Product_797,TV,18,9021.37
Product_798,Laptops,20,8034.56
Product_799,Smartphones,15,997.77
Product_800,Smartphones,15,8474.32
Product_801,TV,18,2057.55
Product_802,Laptops,20,3671.25
Product_803,Laptops,20,979.95
Product_804,Laptops,20,1005.93
Product_805,Accessories,10,9073.13
Product_806,Smartphones,15,533.04
Product_807,Accessories,10,4235.26
Product_808,Smartphones,15,7795.71
Product_809,Smartphones,15,8020.39
Product_810,TV,18,7449.74
Product_811,Smartphones,15,1582.18
Product_812,Accessories,10,9301.94
Product_813,Accessories,10,2821.62
Product_814,Laptops,20,6362.21
Product_815,TV,18,6750.07
Product_816,Accessories,10,8478.92
Product_817,Accessories,10,2964.68
Product_818,TV,18,3639.30
Product_819,Laptops,20,3364.23
Product_820,Accessories,10,1251.71
Product_821,Laptops,20,5583.95
Product_822,Accessories,10,2859.50
Product_823,Smartphones,15,7095.94
Product_824,Smartphones,15,7474.06
Product_825,Accessories,10,7184.79
Product_826,Laptops,20,5834.66
Product_827,TV,18,1030.35
Product_828,Laptops,20,9866.75
Product_829,Smartphones,15,2387.02
Product_830,Laptops,20,8383.96
Product_831,Smartphones,15,6989.13
Product_832,TV,18,3503.70
Product_833,TV,18,9106.46
Product_834,Smartphones,15,4006.83
Product_835,TV,18,6918.52
Product_836,TV,18,9136.75
Product_837,TV,18,9506.51
Product_838,Laptops,20,2314.81
Product_839,TV,18,2054.29
